id,created_at,text
324298063151775744,2013-04-16 23:07:38,Blackout Testing has begun. A gradually increasing number of API v1 calls will be responded to with HTTP 410 Gone. https://t.co/4h1nOIJYJ4
324295416071995393,2013-04-16 22:57:06,API v1 blackout testing will gradually begin in ten minutes or so. More information: https://t.co/4h1nOIJYJ4
323956348020740098,2013-04-16 00:29:46,"Reminder: API v1 Blackout Testing continues on Tuesday, April 16 2013 beginning at 23:00 UTC (4:00pm PDT)  https://t.co/4h1nOIJYJ4"
322766575876833280,2013-04-12 17:42:03,Announcing new symbols entities for Tweets: https://t.co/RJDIKmj7zw
319979596386816001,2013-04-05 01:07:35,Requirements for OAuth 1.0A spec compliance tightened. Always use explicit callbacks &amp; verifiers. Discussion: https://t.co/W8OpCeUgrH
319274418973073408,2013-04-03 02:25:27,Deep linking in mobile applications and new kinds of Twitter Cards https://t.co/NodgYxqElO ^TS
317749398366990337,2013-03-29 21:25:34,"API v1's retirement will occur on May 7th, 2013. Additional blackout testing on April 16. More details: https://t.co/4h1nOIJYJ4 ^TS"
317718547965046784,2013-03-29 19:22:59,Announcing a new lists/ownerships method in 1.1: https://t.co/WSNP67jR2e ^ARK
316721175038406658,2013-03-27 01:19:47,"In case you didn't know, we have an official account tweeting about Twitter developer topics in Japanese: @TwitterDevJP"
316678013091725313,2013-03-26 22:28:16,"The lang attr is now on Streaming &amp; REST as announced in https://t.co/zdgxk4kTx9 Also, the language filter is enabled for Streaming ^ARK"
316639797437399040,2013-03-26 19:56:25,"Embedded Timelines update: Simplified configuration, better dev environment support, &amp; more customization options https://t.co/4dYIxcXcbP"
316278518994591746,2013-03-25 20:00:49,"Please join us at Twitter HQ on 4/2 for a special platform event, where we'll be discussing new features: https://t.co/IKC4pMuMxa  ^JC"
314504102539309057,2013-03-20 22:29:55,To clarify: The blackout test for today is already complete &amp; done. We'll have another blackout test scheduled &amp; announced soon. Thanks! ^TS
314500784370888706,2013-03-20 22:16:44,We're going to end this particular blackout test a little early today. We'll announce the next blackout test soon. Stay tuned. ^TS
